"Consumido";"Concedido(Risc)";"Diferencia";"Forma de plazo (en dies)";"Fp. Real";"Morós"
330,77;0;330,77;0;15;0
;;;;;
-43,12;5000;-5043,12;30;52;0
;;;;;
0;0;0;0;1;0
;;;;;
40112,8;0;40112,8;90;84;0
;;;;;
277,52;0;277,52;30;29;0
;;;;;
1520,11;0;1520,11;40;46;0
13,98;0;13,98;0;;0
;;;;;
152,44;20000;-19847,56;80;43;0
;;;;;
31979,43;15000;16979,43;30;81;0
;;;;;
6033,7;0;6033,7;30;170;0
;;;;;
449,56;0;449,56;0;1;0
;;;;;
1886,89;15000;-13113,11;0;27;0
;;;;;
3514,9;15000;-11485,1;0;64;0
;;;;;
612,28;0;612,28;65;69;0
;;;;;
148,68;30000;-29851,32;55;;0
;;;;;
1903,31;10000;-8096,69;75;77;0
;;;;;
781,33;10000;-9218,67;60;58;0
;;;;;
-1157,13;3000;-4157,13;30;31;0
;;;;;
422,22;0;422,22;0;1;0
;;;;;
30,07;30000;-29969,93;30;30;0
;;;;;
0;0;0;0;15;0
;;;;;
368,79;3000;-2631,21;60;53;0
;;;;;
19,47;10000;-9980,53;85;80;0
;;;;;
3141,48;0;3141,48;20;-22;0
;;;;;
25,56;25000;-24974,44;35;17;0
;;;;;
1928,35;25000;-23071,65;60;67;0
;;;;;
194,18;0;194,18;0;41;0
;;;;;
1622,41;0;1622,41;30;50;0
;;;;;
1334,58;20000;-18665,42;0;11;0
;;;;;
16,94;0;16,94;0;;0
;;;;;
46,61;0;46,61;0;0;0
;;;;;
354,03;2000;-1645,97;30;37;0
;;;;;
2751,23;10000;-7248,77;60;61;0
;;;;;
-610,02;10000;-10610,02;75;163;0
;;;;;
480,6;10000;-9519,4;60;64;0
;;;;;
13180,28;10000;3180,28;35;47;0
;;;;;
357,28;0;357,28;0;14;0
;;;;;
293,14;12000;-11706,86;30;44;0
;;;;;
4060,55;0;4060,55;60;83;0
;;;;;
1127,43;0;1127,43;0;6;0
;;;;;
1236,92;100000;-98763,08;67;130;0
;;;;;
5597,02;0;5597,02;85;89;0
;;;;;
433,42;0;433,42;0;27;0
;;;;;
65,18;15000;-14934,82;60;77;0
;;;;;
3198,33;10000;-6801,67;80;92;0
;;;;;
1826,15;10000;-8173,85;35;67;0
;;;;;
5365,28;0;5365,28;60;72;0
;;;;;
634,34;1000;-365,66;40;113;0
;;;;;
444,6;10000;-9555,4;75;;0
;;;;;
26,85;15000;-14973,15;90;40;0
;;;;;
255,88;20000;-19744,12;60;88;0
;;;;;
151,04;12000;-11848,96;80;82;0
197,17;15000;-14802,83;60;66;0
;;;;;
364,51;0;364,51;0;33;0
;;;;;
786,62;30000;-29213,38;30;48;0
;;;;;
5527,68;0;5527,68;30;29;0
;;;;;
158,79;10000;-9841,21;30;33;0
;;;;;
80,7;10000;-9919,3;30;1;0
;;;;;
28,65;20000;-19971,35;30;37;0
;;;;;
423,6;0;423,6;30;44;0
;;;;;
64,9;0;64,9;30;51;0
;;;;;
4301,8;15000;-10698,2;60;74;0
;;;;;
0;0;0;30;42;0
;;;;;
402,61;10000;-9597,39;70;78;0
;;;;;
4693,68;15000;-10306,32;15;125;0
;;;;;
309,96;0;309,96;30;30;0
;;;;;
1577,73;30000;-28422,27;118;38;0
;;;;;
695,47;30000;-29304,53;30;78;0
;;;;;
2979,8;12000;-9020,2;30;27;0
;;;;;
6805,15;15000;-8194,85;30;43;0
;;;;;
662,08;10000;-9337,92;60;64;0
;;;;;
2449,61;0;2449,61;35;55;0
;;;;;
85,81;10000;-9914,19;30;60;0
;;;;;
598,85;10000;-9401,15;60;105;0
;;;;;
262,86;10000;-9737,14;30;63;0
;;;;;
1178,02;15000;-13821,98;60;49;0
;;;;;
25239,9;30000;-4760,1;110;101;0
;;;;;
274,44;12000;-11725,56;90;85;0
;;;;;
105,13;4000;-3894,87;30;31;0
;;;;;
45,73;0;45,73;15;28;0
;;;;;
687,03;3000;-2312,97;75;;0
;;;;;
0;0;0;0;;0
;;;;;
1439,54;5000;-3560,46;30;41;0
;;;;;
1157,9;0;1157,9;0;2;0
;;;;;
2053,07;15000;-12946,93;60;74;0
;;;;;
14017,13;15000;-982,87;0;19;0
;;;;;
1341,94;6000;-4658,06;50;51;0
;;;;;
205,23;0;205,23;0;73;0
;;;;;
44,44;0;44,44;0;52;0
;;;;;
584,08;0;584,08;0;34;0
;;;;;
757,1;10000;-9242,9;30;33;0
;;;;;
225,93;0;225,93;0;0;0
;;;;;
502,07;0;502,07;30;-2;0
;;;;;
1338,46;6000;-4661,54;60;52;0
;;;;;
56085,14;25000;31085,14;90;127;0
;;;;;
867,55;10000;-9132,45;60;;0
;;;;;
141438,49;150000;-8561,51;115;115;0
;;;;;
11053,16;22000;-10946,84;70;57;0
924,26;0;924,26;0;-1;0
;;;;;
-30,6;0;-30,6;0;3;0
;;;;;
376,79;0;376,79;0;1;0
;;;;;
3168,96;0;3168,96;0;;0
;;;;;
1724,25;3000;-1275,75;55;54;0
;;;;;
764,59;10000;-9235,41;40;46;0
;;;;;
1883,53;10000;-8116,47;40;49;0
;;;;;
789,61;10000;-9210,39;70;78;0
;;;;;
1759,54;0;1759,54;0;;0
;;;;;
795,26;15000;-14204,74;30;-199;0
;;;;;
897,03;0;897,03;60;69;0
;;;;;
47,2;0;47,2;0;1;0
;;;;;
1687,4;0;1687,4;0;4;0
;;;;;
1038,4;0;1038,4;0;;0
;;;;;
0;0;0;0;0;0
;;;;;
3003,94;10000;-6996,06;55;45;0
;;;;;
325,21;0;325,21;0;0;0
;;;;;
506,26;3000;-2493,74;50;1;0
;;;;;
56,45;0;56,45;30;51;0
;;;;;
99,76;0;99,76;0;1;0
;;;;;
14244,11;0;14244,11;0;;0
;;;;;
1442,84;10000;-8557,16;60;77;0
;;;;;
3879,16;3000;879,16;85;82;0
;;;;;
233,85;15000;-14766,15;60;78;0
;;;;;
1986,01;3000;-1013,99;30;19;0
;;;;;
4115,03;0;4115,03;0;;0
;;;;;
-68,25;0;-68,25;30;77;0
;;;;;
754,81;0;754,81;30;35;0
;;;;;
1520,19;0;1520,19;55;50;0
;;;;;
1782,04;15000;-13217,96;45;61;0
;;;;;
813,62;0;813,62;0;18;0
;;;;;
1048,68;4000;-2951,32;30;111;0
;;;;;
165,68;15000;-14834,32;60;60;0
;;;;;
277,38;0;277,38;70;62;0
;;;;;
4931,73;20000;-15068,27;85;90;0
;;;;;
876,92;0;876,92;50;36;0
;;;;;
1740,67;0;1740,67;30;35;0
;;;;;
1042,62;0;1042,62;0;27;0
;;;;;
1151,51;0;1151,51;120;91;0
;;;;;
250;0;250;0;;0
;;;;;
148,38;3000;-2851,62;30;35;0
;;;;;
1079,35;2000;-920,65;80;68;0
;;;;;
-92,89;0;-92,89;0;3;0
;;;;;
15870,41;5000;10870,41;60;64;0
;;;;;
61717,42;4000;57717,42;60;0;0
;;;;;
111,92;4000;-3888,08;55;39;0
6904,81;0;6904,81;0;;0
;;;;;
210,69;2500;-2289,31;30;29;0
;;;;;
4850;0;4850;0;;0
;;;;;
54,46;0;54,46;0;8;0
;;;;;
343,99;0;343,99;0;2;0
;;;;;
309,13;0;309,13;45;4;0
;;;;;
6580,73;3000;3580,73;0;96;0
;;;;;
12603,78;0;12603,78;0;0;0
;;;;;
287,09;0;287,09;0;0;0
;;;;;
3789;0;3789;0;;0
;;;;;
1651,75;0;1651,75;0;0;0
;;;;;
489,06;0;489,06;0;;0
;;;;;
66,87;0;66,87;0;0;0
;;;;;
704;0;704;30;30;0
;;;;;
1100,61;2000;-899,39;35;3;0
;;;;;
-100;0;-100;0;1;0
;;;;;
80,96;0;80,96;0;0;0
;;;;;
186,49;3000;-2813,51;30;;0
;;;;;
236,22;1500;-1263,78;30;;0
;;;;;
128,58;6000;-5871,42;30;;0
;;;;;
521,25;0;521,25;0;2;0
;;;;;
50,03;0;50,03;0;1;0
;;;;;
579,09;0;579,09;0;;0
;;;;;
694,82;0;694,82;30;;0
77239,49;0;77239,49;0;15;0
